BELAKUBE LESSON PLAN,,
,,
LESSON CODE,LI.C3.K8.P1,
SUBJECT,Learning &  Innovation ,
OBJECTIVE,Foster Entrepreneurial Thinking: Introduce basic economic concepts and encourage students to think innovatively about solving real-world problems.,
Duration,45 minutes,
Specific Learning Outcome ,"Students will be able to identify basic economic concepts (needs, wants, resources) and brainstorm innovative solutions to a real-world problem in their community.",
Behavioural Outcome,"Students will be able to participate in discussions, draw connections between economic concepts and real-world problems, and work collaboratively to develop creative solutions.",
Materials Required,"Large sheet of paper or chart paper
Markers
Pictures or drawings depicting needs and wants (e.g., food, shelter, toys, hobbies) - optional
Short list of real-world problems in your community (e.g., littering, limited recycling options) - one per student or group (depending on class size)
Construction paper (optional)
Crayons/markers (optional)",
,,
AAAA,Guiding Principles,Process
ACTIVATE,HOOK,"Play a quick game of ""Needs vs. Wants"": Show pictures or list examples of things people need (food, water, shelter) and things people want (toys, games, electronics). Discuss the difference between needs and wants."
,ASSESS,Ask students to share an example of a need and a want in their own lives. Discuss the importance of using resources wisely.
,INFORM,"Briefly introduce the concept of economics: how people manage their resources to meet their needs and wants.
Explain that today they will learn about needs and wants and use their creativity to solve problems in their community."
ACQUIRE,ENGAGE,Brainstorm a list of needs and wants on chart paper as a class.
,TEACH,"Explain that resources are things we use to meet our needs and wants (e.g., money, time, materials).
Briefly discuss the concept of limited resources: we don't always have everything we want, so we need to make choices.
Show a short list of real-world problems in your community (e.g., littering in the park, limited recycling options). Briefly discuss the impact of these problems."
APPLY,GUIDED PRACTICE,"Divide students into groups (2-3 students) and assign each group a real-world problem from the list.
Discuss as a class what resources might be needed to solve these problems (e.g., time, materials, creativity)."
,INDEPENDENT PRACTICE,"Groups brainstorm innovative solutions to their assigned problems. Encourage them to think creatively and consider the needs and wants of the community.
(Optional) Students can sketch their solutions on construction paper with markers/crayons."
ASSESS,SHARE,Each group presents their problem and proposed solution to the class.
,ASSESSMENT,"Discuss the importance of using resources wisely and coming up with creative solutions to real-world problems.
Briefly review the concepts of needs, wants, and resources."
RESOURCES,,"Websites with information on basic economics for kids:

https://www.mint.ca/en/blog/family-fridays-activities - This website from The Canadian government offers interactive games and activities that introduce basic economic concepts like needs, wants, resources, and production in a fun and engaging way.
https://www.jobskills.org/youth-entrepreneurship-program/ (The Young Entrepreneurship Program of Quebec) - This website offers a section on ""Entrepreneurship Basics"" that can be adapted for younger students. It includes age-appropriate information on identifying problems, brainstorming solutions, and taking initiative.
Additional Resources:

Websites with project ideas for young entrepreneurs:
https://kidpreneurs.org/ - Kidpreneur offers a variety of resources and project ideas to encourage young students to explore entrepreneurship.
https://www.scholastic.com/sharktank/pdfs/Shark_Tank_Teaching_Guide.pdf - Scholastic has a blog post with creative ways to teach entrepreneurship to elementary students, including ideas for classroom projects."
